,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.011924266815185547,0.001582183211339474,0.0026726722717285156,0.0010206677372870188,0.1,scale,linear,5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 5}",0.4958911873051856,0.5131765372626806,0.4550864267497875,0.48805138377255125,0.024354494786011118,103
1,0.009967962900797525,0.0013224042376734407,0.004423062006632487,0.0019170100803889661,0.1,scale,linear,10,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 10}",0.5072258430150184,0.5454803060357042,0.48540663077359025,0.5127042599414376,0.02482903413196249,90
2,0.020392576853434246,0.0008682783563984846,0.007825771967569986,0.0025550676392834316,0.1,scale,linear,25,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 25}",0.41343156701615186,0.3428733352224426,0.3547747237177671,0.37035987531878717,0.030841408650100974,144
3,0.9420610268910726,0.04967994747325453,0.38113196690877277,0.02257305486906507,0.1,scale,linear,-1,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1}",0.7619722300935109,0.7619722300935109,0.7619722300935109,0.7619722300935109,0.0,2
4,0.009976625442504883,0.004028915416593336,0.0029919942220052085,0.001476268773492436,0.1,scale,poly,5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 5}",0.7030320204023803,0.5228109946160385,0.6744120147350524,0.6334183432511571,0.07907913909566572,61
5,0.011762539545694986,0.0029415407579405956,0.004268646240234375,0.002252710162871494,0.1,scale,poly,10,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10}",0.5216775290450553,0.34995749504108814,0.3247378860867101,0.3987909700576178,0.08750175980623719,138
6,0.01867397626241048,0.002745856858351011,0.006790955861409505,0.0016633163718758673,0.1,scale,poly,25,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 25}",0.35052422782657977,0.5219608954378011,0.5111929725134599,0.4612260319259469,0.0784013355080432,116
7,1.6183350880940754,0.04632261269784399,0.4559775988260905,0.029445999796975663,0.1,scale,poly,-1,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': -1}",0.7619722300935109,0.7619722300935109,0.7619722300935109,0.7619722300935109,0.0,2
8,0.008351484934488932,0.002927886663339837,0.003920952479044597,0.0003629443105268102,0.1,scale,rbf,5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 5}",0.42788325304618874,0.5831680362708983,0.6763955794842732,0.5624822896004534,0.10250372085735109,78
9,0.011346896489461264,0.002148721368592951,0.01401225725809733,0.004630643627426357,0.1,scale,rbf,10,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10}",0.7007650892604137,0.5922357608387645,0.6690280532728818,0.6540096344573534,0.045561814857784246,49
10,0.01973589261372884,0.0025575694090593476,0.020119587580362957,0.004963923532271549,0.1,scale,rbf,25,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 25}",0.6990648909039388,0.5950694247662227,0.6256729951827713,0.6399357702843109,0.04363740222559874,59
11,1.4022156397501628,0.020242817078537607,1.5263399283091228,0.07171593956721689,0.1,scale,rbf,-1,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1}",0.7619722300935109,0.7619722300935109,0.7619722300935109,0.7619722300935109,0.0,2
12,0.012366930643717447,0.002491300722359732,0.0035614967346191406,0.002172587109744724,0.1,scale,sigmoid,5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': 5}",0.29158401813544915,0.331255313119864,0.2847832247095494,0.3025408519882875,0.020493135539541893,154
13,0.017733653386433918,0.005405460084245737,0.002882242202758789,0.00010572692432749922,0.1,scale,sigmoid,10,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': 10}",0.28308302635307453,0.42703315386795127,0.2884669878152451,0.3328610560120903,0.0666259947827519,153
14,0.026384671529134113,0.011244950559768345,0.007509311040242513,0.001973674420400382,0.1,scale,sigmoid,25,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': 25}",0.2884669878152451,0.29016718617172005,0.2536129215075092,0.2774156984981581,0.01684541110535773,158
15,1.3656222820281982,0.2219899545208842,0.48774202664693195,0.027448247302289588,0.1,scale,sigmoid,-1,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': -1}",0.7172003400396713,0.742986681779541,0.7608387645225276,0.7403419287805799,0.017913199261170975,32
16,0.008320093154907227,0.0029814803815888876,0.0017274220784505208,2.6834773373359684e-05,0.1,auto,linear,5,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 5}",0.4958911873051856,0.5131765372626806,0.4550864267497875,0.48805138377255125,0.024354494786011118,103
17,0.009785890579223633,0.006023530647892955,0.002897977828979492,0.0006750575244998302,0.1,auto,linear,10,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 10}",0.5072258430150184,0.5454803060357042,0.48540663077359025,0.5127042599414376,0.02482903413196249,90
18,0.040558973948160805,0.017609955645934164,0.01366893450419108,0.00749355426823214,0.1,auto,linear,25,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 25}",0.41343156701615186,0.3428733352224426,0.3547747237177671,0.37035987531878717,0.030841408650100974,144
