,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.007007678349812825,0.0013586758423473682,0.004814306894938151,0.001090604249704914,0.1,scale,linear,5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 5}",0.7237177670728252,0.5840181354491357,0.287050155851516,0.5315953527911589,0.18208196282377012,89
1,0.010897636413574219,0.0022001726965983144,0.0035422643025716147,0.0010804506818216978,0.1,scale,linear,10,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 10}",0.31283649759138565,0.3270048172286767,0.3578917540379711,0.3325776896193445,0.01881110865736688,141
2,0.019304752349853516,0.0018664267781949113,0.00858457883199056,0.002947319406577317,0.1,scale,linear,25,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 25}",0.3148200623406064,0.32955511476338906,0.4879569283083026,0.37744403513743263,0.07837561317239192,130
3,0.9285465081532797,0.014820639795640654,0.3642591635386149,0.004976014762950342,0.1,scale,linear,-1,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1}",0.761688863700765,0.7619722300935109,0.7619722300935109,0.7618777746292623,0.00013358019858063737,3
4,0.008064985275268555,0.0024722211512644876,0.0021266937255859375,0.00021751206296315937,0.1,scale,poly,5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 5}",0.24312836497591386,0.2479455936525928,0.7242844998583168,0.40511948616227444,0.2256923140010562,119
5,0.010682900746663412,0.0020492583092845346,0.0025714238484700522,2.8606476360975504e-05,0.1,scale,poly,10,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 10}",0.23944460187021818,0.24709549447435533,0.23916123547747237,0.24190044394068197,0.003675276557729992,157
6,0.015720526377360027,0.0028316555681821426,0.0064547061920166016,0.002466429364970493,0.1,scale,poly,25,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 25}",0.24001133465570984,0.25701331822045903,0.23944460187021818,0.24548975158212902,0.00815167621059465,151
7,2.252561648686727,0.21161159260822604,0.429049809773763,0.014990566448104556,0.1,scale,poly,-1,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': -1}",0.7585718333805611,0.7619722300935109,0.7611221309152735,0.7605553981297818,0.0014448907661073122,14
8,0.009386618932088217,0.0029316070793442466,0.003730138142903646,0.0002779809543450849,0.1,scale,rbf,5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 5}",0.5806177387361859,0.7072825162935675,0.6752621139132898,0.6543874563143478,0.0537761097255404,59
9,0.009586970011393229,0.0031288770601979746,0.010166327158610025,0.0032638787712303157,0.1,scale,rbf,10,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 10}",0.6922640974780391,0.7276848965712667,0.6950977614054973,0.705015585151601,0.016071313428897307,42
10,0.025954723358154297,0.011182122452111636,0.022971153259277344,0.0031572019904106963,0.1,scale,rbf,25,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 25}",0.6443751771039955,0.7203173703598753,0.6219892320770757,0.6622272598469822,0.04208030686070919,57
11,1.5272923310597737,0.04609346578508097,1.7199366092681885,0.05552738923026649,0.1,scale,rbf,-1,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1}",0.7619722300935109,0.7619722300935109,0.7619722300935109,0.7619722300935109,0.0,1
12,0.012111981709798178,0.003920368947101444,0.0031299591064453125,0.0005561820859493752,0.1,scale,sigmoid,5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': 5}",0.41824879569283085,0.2995182771323321,0.5383961462170587,0.41872107301407385,0.0975220534683175,114
13,0.011578003565470377,0.003010645409932848,0.005291064580281575,0.002897564140656776,0.1,scale,sigmoid,10,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': 10}",0.356474922074242,0.3488240294701048,0.5593652592802494,0.42155473694153206,0.09749680025471807,109
14,0.02973771095275879,0.0051650246705237015,0.014040946960449219,0.0030999405349164035,0.1,scale,sigmoid,25,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': 25}",0.4709549447435534,0.4327004817228677,0.5905355624822896,0.49806366298290355,0.06722668187071094,96
15,2.0682173569997153,0.02282972362853383,0.5892672538757324,0.010837951021149464,0.1,scale,sigmoid,-1,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': -1}",0.760272031737036,0.760272031737036,0.7608387645225276,0.7604609426655332,0.00026716039716127474,15
16,0.011996110280354818,0.0011038126272720473,0.0043811798095703125,0.0018560642552392257,0.1,auto,linear,5,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 5}",0.7237177670728252,0.5840181354491357,0.287050155851516,0.5315953527911589,0.18208196282377012,89
17,0.01338974634806315,0.003831685338506884,0.003950595855712891,0.0020399389651966767,0.1,auto,linear,10,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 10}",0.31283649759138565,0.3270048172286767,0.3578917540379711,0.3325776896193445,0.01881110865736688,141
