,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
784,0.021996100743611652,0.0014774967452589386,0.005436340967814128,0.0010576057965057247,0.00020229616039258455,{'ccp_alpha': 0.00020229616039258455},0.7631056956644942,0.7631056956644942,0.7625389628790026,0.7629167847359969,0.00026716039716122243,768
785,0.029467026392618816,0.007211545351250337,0.007345438003540039,0.0022518691466236447,0.00020229616039258455,{'ccp_alpha': 0.00020229616039258455},0.7625389628790026,0.76338906205724,0.7619722300935109,0.7626334183432512,0.0005822625864710456,1040
786,0.02878260612487793,0.006402145072296869,0.0094911257425944,0.0034461630541265517,0.00020229616039258455,{'ccp_alpha': 0.00020229616039258455},0.7648058940209691,0.7628223292717484,0.7625389628790026,0.76338906205724,0.001008508383114297,181
787,0.03209829330444336,0.0079134180698295,0.00641632080078125,0.0024366866891952577,0.00020229616039258455,{'ccp_alpha': 0.00020229616039258455},0.76338906205724,0.7628223292717484,0.7611221309152735,0.762444507414754,0.0009632605107382131,1202
788,0.027224938074747723,0.0008587461763178997,0.008234421412150065,0.004907694293085366,0.00020229616039258455,{'ccp_alpha': 0.00020229616039258455},0.7631056956644942,0.7645225276282233,0.7628223292717484,0.7634835175214887,0.0007437430692369457,121
789,0.025221506754557293,0.004118237072797138,0.009275436401367188,0.003994992057516138,0.00020295205594715915,{'ccp_alpha': 0.00020295205594715915},0.7628223292717484,0.7625389628790026,0.7631056956644942,0.7628223292717484,0.00023136769082675865,816
790,0.032288153966267906,0.0046957768125856555,0.005838712056477864,0.0010934074689059896,0.00020322362973795123,{'ccp_alpha': 0.00020322362973795123},0.7622555964862567,0.76338906205724,0.7628223292717484,0.7628223292717484,0.00046273538165356263,816
791,0.030420462290445965,0.006395709689794087,0.00879232088724772,0.0035114093118837893,0.00020322362973795123,{'ccp_alpha': 0.00020322362973795123},0.76338906205724,0.7636724284499858,0.7642391612354775,0.7637668839142343,0.0003534199855269897,49
792,0.03232248624165853,0.007613131199628735,0.00587916374206543,0.0014670483295656962,0.00020457928271444794,{'ccp_alpha': 0.00020457928271444794},0.7625389628790026,0.7625389628790026,0.7642391612354775,0.7631056956644943,0.000801481191483772,459
793,0.028496424357096355,0.005742030584744607,0.006010214487711589,0.0016672525755392212,0.0002048734828189909,{'ccp_alpha': 0.0002048734828189909},0.76338906205724,0.76338906205724,0.7625389628790026,0.7631056956644943,0.00040074059574185983,459
794,0.030883391698201496,0.006129251045061644,0.00729219118754069,0.002385902202857544,0.00020537052732581333,{'ccp_alpha': 0.00020537052732581333},0.7631056956644942,0.7625389628790026,0.7625389628790026,0.7627278738074997,0.00026716039716122243,923
795,0.02697102228800456,0.0030277109222713494,0.006516377131144206,0.0024131230490572705,0.00020537052732581333,{'ccp_alpha': 0.00020537052732581333},0.76338906205724,0.76338906205724,0.7628223292717484,0.7632001511287427,0.00026716039716122243,356
796,0.030338287353515625,0.0031392207545167935,0.0072069962819417315,0.0018607225867793005,0.00020537052732581333,{'ccp_alpha': 0.00020537052732581333},0.7631056956644942,0.7628223292717484,0.7628223292717484,0.7629167847359971,0.00013358019858058506,695
797,0.027219613393147785,0.0022814014612314204,0.005822022755940755,0.0015097749966521779,0.000206126758127906,{'ccp_alpha': 0.000206126758127906},0.7628223292717484,0.7628223292717484,0.761688863700765,0.762444507414754,0.0005343207943225496,1202
798,0.03459024429321289,0.005719022004827379,0.006798108418782552,0.002678640374596855,0.000206126758127906,{'ccp_alpha': 0.000206126758127906},0.7611221309152735,0.7625389628790026,0.761688863700765,0.7617833191650137,0.0005822625864710516,1402
799,0.02441294987996419,0.0038625053806313303,0.00708778699239095,0.003150043930301387,0.0002064609016671866,{'ccp_alpha': 0.0002064609016671866},0.7636724284499858,0.76338906205724,0.7619722300935109,0.7630112402002456,0.0007437430692369786,579
800,0.03457498550415039,0.00610814035126639,0.01099848747253418,0.008985785433090442,0.00020662277079389578,{'ccp_alpha': 0.00020662277079389578},0.7631056956644942,0.7636724284499858,0.7631056956644942,0.7632946065929914,0.00026716039716127474,244
801,0.028594334920247395,0.005422617588238173,0.008393605550130209,0.0033705662939251795,0.00020730587706643128,{'ccp_alpha': 0.00020730587706643128},0.7625389628790026,0.7628223292717484,0.7636724284499858,0.7630112402002456,0.0004816302553690993,579
802,0.03639062245686849,0.0017018518174739868,0.007886330286661783,0.004616762254620254,0.00020734672360268197,{'ccp_alpha': 0.00020734672360268197},0.76338906205724,0.7631056956644942,0.7625389628790026,0.7630112402002456,0.0003534199855269403,579
803,0.027115265528361004,0.0034030620596839914,0.007137695948282878,0.003532969287938983,0.00020905516718658623,{'ccp_alpha': 0.00020905516718658623},0.7628223292717484,0.76338906205724,0.7628223292717484,0.7630112402002456,0.00026716039716122243,579
804,0.035227696100870766,0.008744174358859016,0.0047760009765625,8.882513401899671e-05,0.00020972870121423073,{'ccp_alpha': 0.00020972870121423073},0.76338906205724,0.7628223292717484,0.7631056956644942,0.763105695664494,0.00023136769082675865,537
805,0.038348754247029625,0.007867489339286897,0.006186246871948242,0.0015146273287227976,0.00021060461841336683,{'ccp_alpha': 0.00021060461841336683},0.7625389628790026,0.7631056956644942,0.76338906205724,0.7630112402002456,0.0003534199855269403,579
806,0.029200236002604168,0.001452161230408143,0.011013031005859375,0.002016967416877984,0.00021062823600982337,{'ccp_alpha': 0.00021062823600982337},0.7631056956644942,0.7622555964862567,0.7636724284499858,0.7630112402002456,0.0005822625864710456,579
807,0.032487948735555015,0.01635757568189119,0.006563107172648112,0.002374254142887645,0.00021085706026867994,{'ccp_alpha': 0.00021085706026867994},0.7622555964862567,0.7631056956644942,0.7631056956644942,0.7628223292717484,0.00040074059574185983,816
808,0.0328970750172933,0.004900112826869379,0.00805823008219401,0.0025593481764464533,0.0002109460049493746,{'ccp_alpha': 0.0002109460049493746},0.7636724284499858,0.7631056956644942,0.7625389628790026,0.7631056956644943,0.00046273538165356263,459
809,0.03369331359863281,0.007618442893109251,0.00599368413289388,0.0016601740428833103,0.00021206314327349877,{'ccp_alpha': 0.00021206314327349877},0.7622555964862567,0.7631056956644942,0.7642391612354775,0.7632001511287427,0.0008125366267160534,356
