,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.020012299219767254,0.0025608430137246904,0.35327569643656415,0.0033832766903422796,ball_tree,1,1,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'weights': 'uniform'}",0.6421082459620289,0.621422499291584,0.6381411164635874,0.6338906205724001,0.008963818580612671,219
1,0.01904010772705078,0.002938670311291592,0.294935941696167,0.005472598169413345,ball_tree,1,1,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'weights': 'distance'}",0.6421082459620289,0.621422499291584,0.6381411164635874,0.6338906205724001,0.008963818580612671,219
2,0.019993384679158527,0.004306876522789146,0.4564637343088786,0.04457132444919767,ball_tree,1,3,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 3, 'weights': 'uniform'}",0.6945310286200057,0.687730235194106,0.6933975630490223,0.6918862756210448,0.0029749722769478624,149
3,0.02029895782470703,0.003370504842330241,0.3977595965067546,0.017239999394440746,ball_tree,1,3,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 3, 'weights': 'distance'}",0.6616605270614905,0.6469254746387079,0.6596769623122698,0.6560876546708226,0.006529052482775265,210
4,0.029877185821533203,0.005920978315768978,0.4801646868387858,0.04651729181701572,ball_tree,1,5,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'weights': 'uniform'}",0.7234344006800794,0.720884103145367,0.720884103145367,0.7217342023236043,0.0012022217872256317,97
5,0.02711772918701172,0.005503835852345736,0.4398929278055827,0.048076780758702434,ball_tree,1,5,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'weights': 'distance'}",0.678095777840748,0.6568432983848116,0.6814961745536979,0.6721450835930858,0.010908686061161868,188
6,0.015808502833048504,0.0013913060536968227,0.5378875732421875,0.008864474003443874,ball_tree,1,10,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'weights': 'uniform'}",0.7531878719183904,0.7565882686313403,0.7551714366676112,0.754982525739114,0.001394618216702902,68
7,0.019511938095092773,0.0030174633831840914,0.5097990036010742,0.027502088594469114,ball_tree,1,10,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'weights': 'distance'}",0.6962312269764805,0.6837631056956645,0.693964295834514,0.691319542835553,0.00542276380255307,175
8,0.01897255579630534,0.0030589216393474353,0.7215255896250407,0.05121736305858161,ball_tree,1,25,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 25, 'weights': 'uniform'}",0.7599886653442902,0.7611221309152735,0.7619722300935109,0.7610276754510249,0.0008125366267160061,54
9,0.018917322158813477,0.0029607361531891994,0.6245361169179281,0.0070449003195567845,ball_tree,1,25,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 25, 'weights': 'distance'}",0.7140833097194673,0.6996316236894304,0.7194672711816379,0.711060734863512,0.008375169527783482,129
10,0.021574974060058594,0.006675953914888658,0.8225200176239014,0.048549149335706816,ball_tree,1,50,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 50, 'weights': 'uniform'}",0.761688863700765,0.7619722300935109,0.761688863700765,0.7617833191650137,0.00013358019858063737,19
11,0.020019054412841797,0.003605203739889033,0.7317612965901693,0.030022374716424056,ball_tree,1,50,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 50, 'weights': 'distance'}",0.7214508359308586,0.7115330121847548,0.7265514310002834,0.7198450930386322,0.00623549161957083,114
12,0.022344271341959637,0.000705794766728551,0.894264300664266,0.030667253134183423,ball_tree,1,100,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 100, 'weights': 'uniform'}",0.7619722300935109,0.7619722300935109,0.7619722300935109,0.7619722300935109,0.0,1
13,0.017956018447875977,0.0036060442620498984,0.7429753144582113,0.011442458569911516,ball_tree,1,100,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 100, 'weights': 'distance'}",0.7274015301785208,0.7177670728251629,0.7296684613204873,0.724945688108057,0.005159724297250447,73
14,0.020152886708577473,0.004639347632379555,0.280509074529012,0.003049461911348234,ball_tree,5,1,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 1, 'weights': 'uniform'}",0.6409747803910456,0.6208557665060924,0.6384244828563332,0.6334183432511571,0.008943890102023826,231
15,0.019891897837320965,0.001415746056032701,0.21628578503926596,0.008502446005506084,ball_tree,5,1,distance,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 1, 'weights': 'distance'}",0.6409747803910456,0.6208557665060924,0.6384244828563332,0.6334183432511571,0.008943890102023826,231
16,0.016152461369832356,0.0036021718457611073,0.34059492746988934,0.010294555610870719,ball_tree,5,3,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 3, 'weights': 'uniform'}",0.695664494190989,0.6880136015868518,0.6933975630490223,0.6923585529422877,0.0032087064799212472,146
17,0.020587603251139324,0.0038443585295185444,0.2602226734161377,0.01919302921123721,ball_tree,5,3,distance,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 3, 'weights': 'distance'}",0.6616605270614905,0.6469254746387079,0.6588268631340323,0.6558042882780768,0.006383959667031545,212
