,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.033516979217529295,0.004371793073016187,0.002960062026977539,3.188882141292295e-05,gini,1,sqrt,0.01,5,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 5}",0.7629839471199245,0.7629839471199245,0.7628719886632026,0.7638167217760983,0.7638167217760983,0.7632946652910496,0.0004282132745783502,52
1,0.04440608024597168,0.008195447023544165,0.005131053924560547,0.0029665912807564014,gini,1,sqrt,0.01,10,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 10}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
2,0.14693074226379393,0.0237394899244845,0.006886672973632812,0.002325244566320981,gini,1,sqrt,0.01,50,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 50}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
3,0.26125030517578124,0.028860758871173214,0.017881107330322266,0.005513546504045162,gini,1,sqrt,0.01,100,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 100}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
4,0.5855800151824951,0.03937798989631047,0.01969594955444336,0.0025236053618407834,gini,1,sqrt,0.01,250,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 250}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
5,1.1189204216003419,0.021038210213425466,0.041224193572998044,0.005781293349489525,gini,1,sqrt,0.01,500,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 500}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
6,2.270558404922485,0.09151117884531666,0.09589624404907227,0.014716632927095128,gini,1,sqrt,0.01,1000,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 1000}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
7,0.028388166427612306,0.004976349194833587,0.003092050552368164,0.00043782670103786924,gini,1,sqrt,0.1,5,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 5}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
8,0.03637795448303223,0.007752736969119514,0.006546592712402344,0.002950938013812253,gini,1,sqrt,0.1,10,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 10}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
9,0.15295448303222656,0.02293634309770855,0.009348058700561523,0.00450824869914585,gini,1,sqrt,0.1,50,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 50}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
10,0.27138218879699705,0.015990620822570672,0.017583179473876952,0.006813352624876722,gini,1,sqrt,0.1,100,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 100}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
11,0.6261973857879639,0.017444441657751934,0.02749643325805664,0.004685109228538391,gini,1,sqrt,0.1,250,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 250}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
12,1.2653694152832031,0.08010944015483384,0.05936722755432129,0.013383120512442458,gini,1,sqrt,0.1,500,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 500}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
13,2.5546865940093992,0.10240430379654424,0.11271414756774903,0.019767959308869508,gini,1,sqrt,0.1,1000,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 1000}",0.7629839471199245,0.7629839471199245,0.7633443552196505,0.7633443552196505,0.7628719886632026,0.7631057186684705,0.00019908849416844668,273
