,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.02820901870727539,0.003998626008149018,0.20889554023742676,0.013640675828067507,ball_tree,1,1,1,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.609537299338999,0.6203966005665722,0.6324988190836088,0.6197449220595181,0.634860651865848,0.6234076585829094,0.009259473302096354,1457
1,0.029458141326904295,0.006445385407681514,0.1670309543609619,0.005269813367169229,ball_tree,1,1,1,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.609537299338999,0.6203966005665722,0.6324988190836088,0.6197449220595181,0.634860651865848,0.6234076585829094,0.009259473302096354,1457
2,0.022784423828125,0.001863876113175186,0.2525950908660889,0.014302520282711128,ball_tree,1,1,2,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.6142587346553352,0.625590179414542,0.6400566839867737,0.6221067548417573,0.6329711856400567,0.6269967077076929,0.008881478315320636,1397
3,0.031257104873657224,0.008650256349675929,0.18296213150024415,0.01973710764027351,ball_tree,1,1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.6142587346553352,0.625590179414542,0.6400566839867737,0.6221067548417573,0.6329711856400567,0.6269967077076929,0.008881478315320636,1397
4,0.08107075691223145,0.0091985602481817,1.3586741924285888,0.05942077730391499,ball_tree,1,1,3,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 3, 'weights': 'uniform'}",0.617091595845137,0.6251180358829084,0.6391119508738782,0.6254133207368918,0.632026452527161,0.6277522711731953,0.007394198162168016,1377
5,0.07684226036071777,0.005203127220334772,1.320972728729248,0.038225773210376464,ball_tree,1,1,3,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 3, 'weights': 'distance'}",0.617091595845137,0.6251180358829084,0.6391119508738782,0.6254133207368918,0.632026452527161,0.6277522711731953,0.007394198162168016,1377
6,0.07219142913818359,0.005548685814690672,1.3298782348632812,0.06579093120409063,ball_tree,1,1,5,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 5, 'weights': 'uniform'}",0.6166194523135033,0.6293673276676109,0.6405290505432215,0.6254133207368918,0.6301369863013698,0.6284132275125194,0.0077300374292335605,1349
7,0.081638765335083,0.0076009766920479,1.2757227420806885,0.04229224832498668,ball_tree,1,1,5,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 5, 'weights': 'distance'}",0.6166194523135033,0.6293673276676109,0.6405290505432215,0.6254133207368918,0.6301369863013698,0.6284132275125194,0.0077300374292335605,1349
8,0.07031164169311524,0.016635046741779125,1.191421890258789,0.04175719937501146,ball_tree,1,1,10,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 10, 'weights': 'uniform'}",0.6208687440982058,0.6279508970727101,0.6400566839867737,0.6254133207368918,0.632026452527161,0.6292632196843485,0.006498391497906492,1309
9,0.06787648200988769,0.008598832341027731,1.1693430423736573,0.023981498550865683,ball_tree,1,1,10,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 10, 'weights': 'distance'}",0.6208687440982058,0.6279508970727101,0.6400566839867737,0.6254133207368918,0.632026452527161,0.6292632196843485,0.006498391497906492,1309
10,0.07407360076904297,0.010786171093145853,1.0854162216186523,0.03843386198343107,ball_tree,1,1,100,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 100, 'weights': 'uniform'}",0.6085930122757318,0.6109537299339,0.6334435521965045,0.6088804912612187,0.6239962210675484,0.6171734013469806,0.009923189249398216,1489
11,0.0802919864654541,0.03726306989712842,1.0603507041931153,0.08382100517086342,ball_tree,1,1,100,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 100, 'weights': 'distance'}",0.6085930122757318,0.6109537299339,0.6334435521965045,0.6088804912612187,0.6239962210675484,0.6171734013469806,0.009923189249398216,1489
12,0.026341867446899415,0.0013325322132490612,0.2524606227874756,0.013345983191727015,ball_tree,1,3,1,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.6874409820585458,0.6898016997167139,0.682569674067076,0.6854038734057629,0.6910722720831365,0.687257700266247,0.0030486307496427763,947
13,0.02835383415222168,0.005080136359172573,0.22436270713806153,0.03988451012923167,ball_tree,1,3,1,distance,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.6454202077431539,0.6430594900849859,0.649031648559282,0.646669815777043,0.6551724137931034,0.6478707151915136,0.004129348663813264,1279
14,0.030231285095214843,0.012265338493964351,0.31260218620300295,0.01755926242233361,ball_tree,1,3,2,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.6864966949952785,0.6898016997167139,0.6787907416154936,0.680207841284837,0.6934341048653755,0.6857462164955397,0.005570745381083768,1054
