,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.02531592051188151,0.0029585652422916904,0.007197380065917969,0.003696121874145196,gini,1,sqrt,0.01,5,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 5}",0.7582884669878153,0.7597052989515444,0.7597052989515444,0.7592330216303013,0.0006679009929031346,2575
1,0.03792921702067057,0.007303422839995574,0.006667375564575195,0.0015442449344129723,gini,1,sqrt,0.01,10,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 10}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
2,0.10793566703796387,0.003178679240987002,0.010781288146972656,0.0041945405855222185,gini,1,sqrt,0.01,50,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 50}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
3,0.1919825871785482,0.0033279330495503477,0.021410067876180012,0.002003878928836269,gini,1,sqrt,0.01,100,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 100}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
4,0.4706469376881917,0.012714072677071631,0.03806877136230469,0.0019048853803290946,gini,1,sqrt,0.01,250,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 250}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
5,0.9571619033813477,0.033935965602974745,0.07281843821207683,0.010116244673145291,gini,1,sqrt,0.01,500,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 500}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
6,1.9393542607625325,0.06167666496070879,0.1477984587351481,0.030576409354497194,gini,1,sqrt,0.01,1000,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.01, 'n_estimators': 1000}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
7,0.020918607711791992,0.0052003661353877744,0.004877010981241862,0.0008784842270713691,gini,1,sqrt,0.1,5,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 5}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
8,0.03063805898030599,0.006690213406105529,0.0062482357025146484,0.002302074366197791,gini,1,sqrt,0.1,10,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 10}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
9,0.10997907320658366,0.007626003605402816,0.01336375872294108,0.00397681403947059,gini,1,sqrt,0.1,50,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 50}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
10,0.2207190195719401,0.009561334963336842,0.0190276304880778,0.003963095700408361,gini,1,sqrt,0.1,100,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 100}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
11,0.5330713589986166,0.022974200882962564,0.03919426600138346,0.0024876390059065385,gini,1,sqrt,0.1,250,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 250}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
12,1.0262761116027832,0.028568583539164045,0.07385722796122234,0.02090826285690304,gini,1,sqrt,0.1,500,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 500}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
13,2.250375986099243,0.07167380847536328,0.1479814052581787,0.002563779209688403,gini,1,sqrt,0.1,1000,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.1, 'n_estimators': 1000}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
14,0.020259698232014973,0.003612988573033984,0.0064169565836588545,0.0024789961572218586,gini,1,sqrt,0.25,5,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 5}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
15,0.03226383527119955,0.0007289353021418322,0.007189512252807617,0.0018035096262318962,gini,1,sqrt,0.25,10,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 10}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
16,0.13875246047973633,0.014878087781710358,0.013121922810872396,0.003830052576254095,gini,1,sqrt,0.25,50,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'max_samples': 0.25, 'n_estimators': 50}",0.7597052989515444,0.7597052989515444,0.7597052989515444,0.7597052989515444,0.0,220
